,name,location,price_for_two,cuisines,rating,restaurant_link
247,Communiti,"Brigade Road, Bangalore",1800,"American, Continental, European, Italian, Oriental, Burger, Beverages",4.5,https://www.zomato.com//bangalore/communiti-brigade-road-bangalore/info
248,A2B - Adyar Ananda Bhavan,"Varthur Main Road, Whitefield, Bangalore",700,"South Indian, Street Food, Biryani, Beverages",4.1,https://www.zomato.com//bangalore/a2b-adyar-ananda-bhavan-varthur-main-road-whitefield-bangalore/info
249,GOPIZZA,"Hoskote, Bangalore",400,Pizza,4.1,https://www.zomato.com//bangalore/gopizza-hoskote-bangalore/info
250,Sathya's,"Koramangala 3rd Block, Bangalore",1400,"North Indian, Chinese, Beverages",4.1,https://www.zomato.com//bangalore/sathyas-koramangala-3rd-block/info
251,Daysie - All Day Casual Bar,"MG Road, Bangalore",1300,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",4.4,https://www.zomato.com//bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info
252,Poco A Poco - Global Food & Music,"Whitefield, Bangalore",1000,"Continental, Chinese, North Indian, Italian, Cafe, Asian, South Indian, Beverages",4.5,https://www.zomato.com//bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info
253,Barrys Sky Lounge,"Kalyan Nagar, Bangalore",1000,"Chinese, North Indian, Oriental, Mughlai, Biryani",4.3,https://www.zomato.com//bangalore/barrys-sky-lounge-kalyan-nagar-bangalore/info
254,Monsoon - The Park Bangalore,"The Park, MG Road, Bangalore",3500,"Italian, North Indian, Continental, Asian, Seafood, Desserts",3.8,https://www.zomato.com//bangalore/monsoon-the-park-bangalore-mg-road-bangalore/info
255,Lifetree,"Richmond Road, Bangalore",1700,"North Indian, Continental, Pizza, Fast Food, Biryani, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/lifetree-richmond-road-bangalore/info
256,The Reservoire,"Koramangala 5th Block, Bangalore",2000,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/the-reservoire-koramangala-5th-block/info
257,Brooks And Bonds Brewery,"Koramangala 5th Block, Bangalore",2000,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",4.2,https://www.zomato.com//bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info
258,Xochi Bar And Kitchen,"Bellandur, Bangalore",2500,"Asian, North Indian, Continental",4.5,https://www.zomato.com//bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info
259,Punjab Bistro,"Whitefield, Bangalore",1300,"North Indian, Mughlai, Seafood, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/punjab-bistro-1-whitefield-bangalore/info
260,Stegi - Modern Indian,"Jayanagar, Bangalore",1400,"North Indian, Italian, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/stegi-modern-indian-jayanagar-bangalore/info
261,Full Circle,"Rajarajeshwari Nagar, Bangalore",1504,North Indian,4.1,https://www.zomato.com//bangalore/full-circle-rajarajeshwari-nagar-bangalore/info
262,Down Town Tap Room,"Brigade Road, Bangalore",1700,"Continental, Pizza, Burger, Fast Food, Biryani, Desserts, Bar Food, Beverages",4.6,https://www.zomato.com//bangalore/down-town-tap-room-1-brigade-road-bangalore/info
263,Indigo XP,"Koramangala 5th Block, Bangalore",2000,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",4.0,https://www.zomato.com//bangalore/indigo-xp-koramangala-5th-block/info
264,House Of Commons,"HSR, Bangalore",1200,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",4.5,https://www.zomato.com//bangalore/house-of-commons-hsr-bangalore/info
265,Chianti,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore",1800,"Italian, Pizza, Pasta, Desserts",4.9,https://www.zomato.com//bangalore/chianti-kanakapura-road-bangalore/info
266,Mannheim Craft Brewery,"Garuda Mall, Magrath Road, Bangalore",1500,"South Indian, North Indian, Continental, Desserts, Asian",4.4,https://www.zomato.com//bangalore/mannheim-craft-brewery-brigade-road-bangalore/info
267,Babai Tiffins,"Sarjapur Road, Bangalore",150,South Indian,4.0,https://www.zomato.com//bangalore/babai-tiffins-sarjapur-road-bangalore/info
268,Kling Brewery,"Church Street, Bangalore",1500,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",4.2,https://www.zomato.com//bangalore/kling-brewery-church-street-bangalore/info
269,Drink & Dine,"SG Arcade, Bangalore",1700,"North Indian, Chinese, Mughlai, Sandwich, Burger, Pizza, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/drink-dine-rajarajeshwari-nagar-bangalore/info
270,Maverick & Farmer Coffee,"Koramangala 4th Block, Bangalore",1000,"Cafe, Sandwich, Fast Food, Salad, Burger, Italian, Desserts, Beverages",3.9,https://www.zomato.com//bangalore/maverick-farmer-coffee-koramangala-4th-block-bangalore/info
271,Corn Dawg,"Koramangala 5th Block, Bangalore",300,"Fast Food, Korean",2.7,https://www.zomato.com//bangalore/corn-dawg-koramangala-5th-block-bangalore/info
272,Ambi Naati Style,"Banashankari, Bangalore",300,"South Indian, Chinese, Kebab, Street Food",3.9,https://www.zomato.com//bangalore/ambi-naati-style-2-banashankari-bangalore/info
273,2 Rabbits Bakes,"Koramangala 5th Block, Bangalore",600,"Bakery, Desserts",3.9,https://www.zomato.com//bangalore/2-rabbits-bakes-koramangala-5th-block-bangalore/info
274,Thela Tapri By Sharma's Kitchen,"BTM, Bangalore",250,"North Indian, Fast Food",3.9,https://www.zomato.com//bangalore/thela-tapri-by-sharmas-kitchen-btm-bangalore/info
275,Ishaara,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",2500,"North Indian, Mughlai, Kebab, Biryani",4.5,https://www.zomato.com//bangalore/ishaara-kr-puram-bangalore/info
276,Proxy,"Marathahalli, Bangalore",1200,"Finger Food, Street Food, Pasta, Bar Food, Desserts",4.4,https://www.zomato.com//bangalore/proxy-marathahalli-bangalore/info
277,Horizon,"World Trade Center, Bangalore",3000,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/horizon-1-malleshwaram-bangalore/info
278,Don't Tell Mama,"HSR, Bangalore",2000,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",3.9,https://www.zomato.com//bangalore/dont-tell-mama-1-hsr-bangalore/info
279,Shokudo,"Jayanagar, Bangalore",1500,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",4.1,https://www.zomato.com//bangalore/shokudo-jayanagar-bangalore/info
280,Mithai Mahal,"Bannerghatta Road, Bangalore",200,"Mithai, American, North Indian, Street Food, Momos, Fast Food, Beverages",4.0,https://www.zomato.com//bangalore/mithai-mahal-bannerghatta-road-bangalore/info
281,Kappa Chakka Kandhari,"Koramangala 6th Block, Bangalore",1800,"Kerala, South Indian, Desserts, Beverages",4.2,https://www.zomato.com//bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info
282,AB's - Absolute Barbecues,"Marathahalli, Bangalore",1850,"Biryani, BBQ, Kebab, North Indian, Desserts",4.5,https://www.zomato.com//bangalore/abs-absolute-barbecues-marathahalli/info
283,MoMo Cafe - Courtyard By Marriott,"Courtyard & Fairfield by Marriott, Bangalore",2800,"North Indian, Asian, Fast Food, Continental, Italian, Desserts, Beverages",4.0,https://www.zomato.com//bangalore/momo-cafe-courtyard-by-marriott-bellandur-bangalore/info
284,Suay,"JP Nagar, Bangalore",1400,"Cafe, Coffee, Continental, Fast Food, Salad, Chinese, Desserts, Beverages",New,https://www.zomato.com//bangalore/suay-jp-nagar-bangalore/info
285,Chai Point,"Church Street, Bangalore",250,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",4.1,https://www.zomato.com//bangalore/chai-point-church-street-bangalore/info
286,Gatsby,"Bannerghatta Road, Bangalore",2500,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",4.4,https://www.zomato.com//bangalore/gatsby-bannerghatta-road-bangalore/info
287,Hangover Brewery,"Koramangala 7th Block, Bangalore",2000,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",4.0,https://www.zomato.com//bangalore/hangover-brewery-koramangala-7th-block-bangalore/info
288,Gilly's Restobar,"Bannerghatta Road, Bangalore",2000,"North Indian, European, Bar Food, Italian, Fast Food, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/gillys-restobar-bannerghatta-road-bangalore/info
289,Celebs Restobar,"Brookefield, Bangalore",1300,Bar Food,4.3,https://www.zomato.com//bangalore/celebs-restobar-brookefield-bangalore/info
290,The Irish House,"RMZ Ecoworld, Bellandur, Bangalore",2000,"European, American, Italian, BBQ, Beverages, Desserts",4.2,https://www.zomato.com//bangalore/the-irish-house-bellandur/info
291,Dhaba - Estd 1986 Delhi,"Indiranagar, Bangalore",2500,"North Indian, Mughlai, Desserts, Paan",4.2,https://www.zomato.com//bangalore/dhaba-estd-1986-delhi-indiranagar-bangalore/info
292,21st Amendment Gastrobar,"Indiranagar, Bangalore",1700,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",4.3,https://www.zomato.com//bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info
293,Shelby Rooftop Taproom & Kitchen,"Nagarbhavi, Bangalore",1400,"Asian, North Indian",4.1,https://www.zomato.com//bangalore/shelby-rooftop-taproom-kitchen-nagarbhavi-bangalore/info
294,Shree Aahar,"HSR, Bangalore",500,"South Indian, North Indian, Chinese, Sandwich, Street Food",3.7,https://www.zomato.com//bangalore/shree-aahar-1-hsr-bangalore/info
295,Delhi Ke Famous Nagpal's,"Jayanagar, Bangalore",500,"North Indian, Street Food, Tea, Shake, Beverages",New,https://www.zomato.com//bangalore/delhi-ke-famous-nagpals-jayanagar-bangalore/info
296,Essence Of Kolkata,"Whitefield, Bangalore",650,"Bengali, Biryani, North Indian, Chinese, Mughlai, Beverages",3.4,https://www.zomato.com//bangalore/essence-of-kolkata-2-whitefield-bangalore/info
297,@Calcutta Aromas Of The East,"Jalahalli, Bangalore",600,"Bengali, North Indian, Rolls",3.5,https://www.zomato.com//bangalore/@calcutta-aromas-of-the-east-jalahalli-bangalore/info
298,CTR Shri Sagar - Since 1920,"Malleshwaram, Bangalore",150,South Indian,4.7,https://www.zomato.com//bangalore/ctr-shri-sagar-since-1920-malleshwaram-bangalore/info
299,Rasotsav,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore",1200,"Rajasthani, Gujarati, North Indian, Mithai",4.3,https://www.zomato.com//bangalore/rasotsav-kanakapura-road-bangalore/info
300,Chowki Multicuisine Restaurant,"Whitefield, Bangalore",700,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",4.2,https://www.zomato.com//bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info
301,Geist Brewing Co.,"Bhartiya Mall of Bengaluru, Bangalore",1800,"Continental, Italian, North Indian, South Indian, Bar Food, Beverages",New,https://www.zomato.com//bangalore/geist-brewing-co-jakkur-bangalore/info
302,Garden City Beer Collective,"Yelahanka, Bangalore",2000,"Pizza, Continental, Sushi, Asian, South Indian, Pasta, Desserts",4.3,https://www.zomato.com//bangalore/garden-city-beer-collective-yelahanka-bangalore/info
303,Limelight - Royal Orchid Hotel,"Royal Orchid Hotel,  Old Airport Road, Bangalore",3500,"Asian, Continental, North Indian, South Indian, Healthy Food, Beverages, Desserts",3.9,https://www.zomato.com//bangalore/limelight-royal-orchid-hotel-airport-road-bangalore/info
304,Chaayos Chai+Snacks=Relax,"Kammanahalli, Bangalore",350,"Tea, Beverages, Sandwich, Street Food",3.3,https://www.zomato.com//bangalore/chaayos-chai-snacks-relax-kammanahalli-bangalore/info
305,Cable Car,"Jayanagar, Bangalore",1200,"Oriental, Continental, Pasta, North Indian, Desserts",4.0,https://www.zomato.com//bangalore/cable-car-jayanagar/info
306,"Cha Cha Cha - Dimsum, Sushi, Stir Fry","Phoenix Marketcity Bangalore, Whitefield, Bangalore",2500,"Asian, Chinese",4.2,https://www.zomato.com//bangalore/cha-cha-cha-dimsum-sushi-stir-fry-whitefield-bangalore/info
307,You Mee,"Orion Mall, Malleshwaram, Bangalore",2200,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/you-mee-malleshwaram-bangalore/info
308,Peep In Cafe,"BTM, Bangalore",300,"Cafe, Coffee, Chinese, Fast Food, Street Food, Shake, Beverages, Desserts",3.9,https://www.zomato.com//bangalore/peep-in-cafe-btm-bangalore/info
309,Isobel,"Jayanagar, Bangalore",700,"Cafe, Continental, Italian, Beverages",4.1,https://www.zomato.com//bangalore/isobel-1-jayanagar-bangalore/info
310,The Big Barbeque,"Marathahalli, Bangalore",2000,"BBQ, Pizza, North Indian, Pasta, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/the-big-barbeque-marathahalli-bangalore/info
311,Public - The Rooftop Bar And Kitchen,"Bannerghatta Road, Bangalore",1200,"North Indian, Biryani, Oriental, Pizza, Continental",4.2,https://www.zomato.com//bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info
312,Sidewalk Bar & Kitchen,"Marathahalli, Bangalore",1800,"North Indian, Continental, Chinese, Fast Food, Beverages",4.3,https://www.zomato.com//bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info
313,Dishkeyaun,"Forum Rex Walk, Bangalore",2000,"Modern Indian, Biryani, Desserts",New,https://www.zomato.com//bangalore/dishkeyaun-1-brigade-road-bangalore/info
314,The Brownie Circles,"Indiranagar, Bangalore",600,"Desserts, Cafe, Coffee, Tea",4.4,https://www.zomato.com//bangalore/the-brownie-circles-indiranagar-bangalore/info
315,Jamie Oliver Kitchen Cafe,"Bellandur, Bangalore",1000,"Healthy Food, Coffee, Salad, Sandwich, Tea, Continental",New,https://www.zomato.com//bangalore/jamie-oliver-kitchen-cafe-bellandur-bangalore/info
316,La Milano Pizzeria,"Marathahalli, Bangalore",400,"Pizza, Mexican, Fast Food",3.8,https://www.zomato.com//bangalore/la-milano-pizzeria-marathahalli-bangalore/info
317,La Pino'z Pizza,"Bellandur, Bangalore",500,"Pizza, Italian, Pasta, Fast Food",4.2,https://www.zomato.com//bangalore/la-pinoz-pizza-bellandur-bangalore/info
318,One Night In Bangkok,"UB City, Bangalore",2500,"Asian, Thai, Desserts, Beverages",4.0,https://www.zomato.com//bangalore/one-night-in-bangkok-lavelle-road-bangalore/info
319,Sly Granny,"Indiranagar, Bangalore",2500,"Continental, Italian, Salad, Sandwich, Pizza, Middle Eastern, Desserts",4.4,https://www.zomato.com//bangalore/sly-granny-indiranagar-bangalore/info
320,Chili's American Grill & Bar,"Orion Mall, Malleshwaram, Bangalore",1800,"Continental, Mexican, American, Italian, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info
321,Big Pitcher,"Sarjapur Road, Bangalore",1800,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",4.5,https://www.zomato.com//bangalore/big-pitcher-sarjapur-road-bangalore/info
322,The 13th Floor,"Barton Centre, Bangalore",2500,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",4.3,https://www.zomato.com//bangalore/the-13th-floor-mg-road-bangalore/info
323,Spice Terrace - JW Marriott,"JW Marriott Bengaluru, Lavelle Road, Bangalore",3500,"North Indian, Mughlai, Desserts",4.2,https://www.zomato.com//bangalore/spice-terrace-jw-marriott-lavelle-road/info
324,Secret Of Bangalore,"Rajarajeshwari Nagar, Bangalore",1600,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info
325,Suku Japanese And Thai Restaurant,"HSR, Bangalore",800,"Japanese, Thai",4.7,https://www.zomato.com//bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info
326,Bistro Claytopia,"Koramangala 1st Block, Bangalore",1100,"Cafe, American, Italian, Modern Indian, Continental, Desserts, Beverages",3.7,https://www.zomato.com//bangalore/bistro-claytopia-koramangala-1st-block/info
327,The Farmhouse Kitchen & Bakery,"Varthur Main Road, Whitefield, Bangalore",1200,"Cafe, Italian, Continental, Healthy Food, Beverages, Desserts",3.6,https://www.zomato.com//bangalore/the-farmhouse-kitchen-bakery-varthur-main-road-whitefield-bangalore/info
328,Madurai Idly Shop,"ITPL Main Road, Whitefield, Bangalore",300,South Indian,3.1,https://www.zomato.com//bangalore/madurai-idly-shop-itpl-main-road-whitefield-bangalore/info
329,ulo Ice-Creams,"Indiranagar, Bangalore",300,"Ice Cream, Desserts",3.9,https://www.zomato.com//bangalore/ulo-ice-creams-indiranagar-bangalore/info
330,Pincode 24 Bar & Bistro,"Hebbal, Bangalore",1000,"Bar Food, Continental, North Indian, Burger, Sandwich, Panini, Beverages",New,https://www.zomato.com//bangalore/pincode-24-bar-bistro-hebbal-bangalore/info
331,Copper + Cloves,"Indiranagar, Bangalore",600,"Salad, Healthy Food, Sandwich, Coffee, Beverages, Juices",3.4,https://www.zomato.com//bangalore/copper-cloves-indiranagar-bangalore/info
332,The Spice Studio,"Brookefield, Bangalore",550,"North Indian, Biryani, Chinese",3.9,https://www.zomato.com//bangalore/the-spice-studio-brookefield-bangalore/info
333,Spettacolare,"Indiranagar, Bangalore",1000,"Italian, Pizza, Pasta",3.9,https://www.zomato.com//bangalore/spettacolare-indiranagar-bangalore/info
334,Salt - Indian Restaurant Bar & Grill,"Nexus, Koramangala, Bangalore",1800,"North Indian, Rolls, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",4.6,https://www.zomato.com//bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore/info
335,Tiger Tiger Brewhouse,"Sarjapur Road, Bangalore",1600,"North Indian, Continental, Oriental, Mughlai, Andhra, European, Beverages, Desserts",4.1,https://www.zomato.com//bangalore/tiger-tiger-brewhouse-1-sarjapur-road-bangalore/info
336,Foxtrot,"Marathahalli, Bangalore",1900,"North Indian, Mughlai, Biryani, Desserts, Beverages",4.2,https://www.zomato.com//bangalore/foxtrot-marathahalli-bangalore/info
337,Reboot The Pub,"Marathahalli, Bangalore",1200,"North Indian, Chinese, Continental, Italian, Biryani, Mughlai, Desserts",4.0,https://www.zomato.com//bangalore/reboot-the-pub-1-marathahalli-bangalore/info
338,Litti Cafe,"Sarjapur Road, Bangalore",200,"Bihari, North Indian, Street Food, Desserts",3.9,https://www.zomato.com//bangalore/litti-cafe-sarjapur-road-bangalore/info
339,Desi Dawat,"ITPL Main Road, Whitefield, Bangalore",550,"North Indian, Chinese, Street Food",3.7,https://www.zomato.com//bangalore/desi-dawat-itpl-main-road-whitefield-bangalore/info
340,Bombay Adda,"Koramangala 7th Block, Bangalore",2000,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",4.2,https://www.zomato.com//bangalore/bombay-adda-koramangala-7th-block-bangalore/info
341,Enne,"Malleshwaram, Bangalore",1000,"South Indian, Andhra, Seafood, Biryani, Continental",3.9,https://www.zomato.com//bangalore/enne-malleshwaram-bangalore/info
342,Tadka Bowl,"Vaishnavi Sapphire Mall, Bangalore",600,"North Indian, South Indian, Continental, Biryani, Fast Food, Chinese, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/tadka-bowl-yeshwantpur-bangalore/info
343,You Me And Tea,"HSR, Bangalore",400,"Chinese, Biryani, Street Food, Fast Food, Sandwich, North Indian, Tea, Beverages",4.2,https://www.zomato.com//bangalore/you-me-and-tea-1-hsr-bangalore/info
344,Ciciana,"HSR, Bangalore",1200,"Cafe, Coffee, Italian, Fast Food, Salad, Desserts, Beverages",3.7,https://www.zomato.com//bangalore/ciciana-hsr-bangalore/info
345,Uncle Peter's Pancakes & Cafe,"Domlur, Bangalore",300,"Desserts, Tea, Beverages, Fast Food",4.1,https://www.zomato.com//bangalore/uncle-peters-pancakes-cafe-domlur-bangalore/info
346,Skyye,"UB City, Bangalore",2200,"Continental, Asian, Thai, Seafood, Italian, Beverages, Desserts",4.3,https://www.zomato.com//bangalore/skyye-lavelle-road/info
347,Fenny's Lounge And Kitchen,"Koramangala 7th Block, Bangalore",1900,"Mediterranean, Continental, Italian, Desserts, Beverages",4.5,https://www.zomato.com//bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info
348,Altitude Kitchen & Bar,"Basaveshwara Nagar, Bangalore",1800,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info
349,Aromas Of Biryani,"Jayanagar, Bangalore",1000,"Biryani, North Indian, South Indian",4.3,https://www.zomato.com//bangalore/aromas-of-biryani-1-jayanagar-bangalore/info
350,La Casa Brewery And Kitchen,"Sarjapur Road, Bangalore",2000,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info
351,Barbeque Nation,"Electronic City, Bangalore",1900,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.3,https://www.zomato.com//bangalore/barbeque-nation-electronic-city/info
352,IGNYT -The Beer Station,"Kumaraswamy Layout, Bangalore",2000,Continental,New,https://www.zomato.com//bangalore/ignyt-the-beer-station-kumaraswamy-layout-bangalore/info
353,California Burrito,"HSR, Bangalore",450,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages",4.4,https://www.zomato.com//bangalore/california-burrito-hsr/info
354,Windmills,"Craftworks, Bangalore",3500,"Continental, North Indian, Mughlai, Kebab, Desserts",4.7,https://www.zomato.com//bangalore/windmills-1-whitefield-bangalore/info
355,Barista Coffee,"Embassy Manyata Business Park,  Nagawara , Bangalore",600,"Cafe, Fast Food, Beverages, Desserts",3.7,https://www.zomato.com//bangalore/barista-coffee-nagawara-bangalore/info
356,Alchemy Coffee Roasters,"Jayanagar, Bangalore",1100,"Cafe, Italian, Continental, Fast Food, Modern Indian, Desserts, Beverages",4.0,https://www.zomato.com//bangalore/alchemy-coffee-roasters-jayanagar/info
357,Jus' Trufs,"Jakkur, Bangalore",1200,"Cafe, Italian, Fast Food, Pizza, Desserts, Beverages",3.9,https://www.zomato.com//bangalore/jus-trufs-jakkur-bangalore/info
358,Khmer Kitchen,"JP Nagar, Bangalore",2500,"Chinese, Asian, Thai, Japanese",4.6,https://www.zomato.com//bangalore/khmer-kitchen-jp-nagar-bangalore/info
359,Zyng - Pan Asian Dining,"Ulsoor, Bangalore",1200,"Asian, Japanese, Korean, Chinese, Thai, Seafood, Desserts",4.3,https://www.zomato.com//bangalore/zyng-pan-asian-dining-ulsoor-bangalore/info
360,Caf Down The Alley,"Banashankari, Bangalore",700,"Cafe, Continental, Italian, Mexican, Fast Food, Beverages, Desserts",3.8,https://www.zomato.com//bangalore/caf-down-the-alley-banashankari/info
361,Caf Siri,"Brookefield, Bangalore",250,"North Indian, South Indian, Sandwich, Biryani, Desserts, Beverages, Chinese",4.2,https://www.zomato.com//bangalore/caf-siri-brookefield-bangalore/info
362,Sector 144,"Electronic City, Bangalore",1100,"North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",4.4,https://www.zomato.com//bangalore/sector-144-electronic-city-bangalore/info
363,Karim's Delhi 6 - Since 1913,"St. Marks Road, Bangalore",950,"Mughlai, North Indian, Rolls",3.6,https://www.zomato.com//bangalore/karims-delhi-6-since-1913-st-marks-road-bangalore/info
364,Sri Manjunatha Cafe,"BTM, Bangalore",200,"South Indian, Chinese, Street Food, Beverages",3.9,https://www.zomato.com//bangalore/sri-manjunatha-cafe-btm-bangalore/info
365,Lapis - The Oberoi,"The Oberoi, MG Road, Bangalore",4000,"North Indian, South Indian, Mediterranean, European, American, Italian",4.1,https://www.zomato.com//bangalore/lapis-the-oberoi-mg-road-bangalore/info
366,Aramana Oru Nadan Oonu Kada,"Electronic City, Bangalore",300,"South Indian, Kerala, Seafood",New,https://www.zomato.com//bangalore/aramana-oru-nadan-oonu-kada-1-electronic-city-bangalore/info
367,Blink by Zoca,"Whitefield, Bangalore",1500,"North Indian, Chinese, Thai, Continental",4.0,https://www.zomato.com//bangalore/blink-by-zoca-whitefield-bangalore/info
368,One Atria Cafe - Radisson Blu Atria,"Radisson Blu Atria, Bangalore",2500,"South Indian, North Indian, Chinese, Biryani",3.8,https://www.zomato.com//bangalore/one-atria-cafe-radisson-blu-atria-race-course-road-bangalore/info
369,Pinxx - Royal Orchid Central,"Royal Orchid Central, MG Road, Bangalore",1900,"Continental, North Indian, Chinese, Sandwich, Fast Food, Desserts, Beverages",3.7,https://www.zomato.com//bangalore/pinxx-royal-orchid-central-mg-road-bangalore/info
370,Great Room - Holiday Inn Express & Suites,"Hoskote, Bangalore",2000,"North Indian, Chinese, Continental, Biryani, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/great-room-holiday-inn-express-suites-hoskote-bangalore/info
